                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.70386,                 0.4738,                0.05092,                 0.8324,                0.81735,                0.83572,                0.32365,                0.63811,                0.46632,                0.05501,                 0.0001,                 0.0001,                 0.0001
                     37,                0.67524,                0.47655,                0.04776,                0.82159,                0.82453,                0.83932,                0.32142,                0.63548,                0.47863,                0.05473,                 0.0001,                 0.0001,                 0.0001
                     38,                0.69363,                0.48239,                0.04969,                 0.8312,                0.82779,                0.84902,                0.32315,                0.64039,                0.46505,                0.05498,                 0.0001,                 0.0001,                 0.0001
                     39,                0.69898,                0.47683,                0.05037,                0.83623,                0.83333,                 0.8568,                0.32516,                0.64115,                0.46528,                0.05551,                 0.0001,                 0.0001,                 0.0001
                     40,                0.68703,                0.47245,                0.04872,                0.84414,                0.84086,                0.86121,                0.34008,                0.63264,                0.46036,                0.05544,                 0.0001,                 0.0001,                 0.0001
                     41,                0.68562,                 0.4754,                0.04843,                 0.8447,                0.82746,                0.85165,                0.33031,                0.63461,                0.46579,                0.05492,                 0.0001,                 0.0001,                 0.0001
                     42,                 0.6789,                0.47965,                0.04841,                0.85125,                0.84638,                0.86995,                0.34341,                0.62568,                0.45873,                0.05365,                 0.0001,                 0.0001,                 0.0001
                     43,                0.68018,                0.47416,                0.04733,                 0.8575,                0.84573,                0.87151,                0.34342,                0.62656,                0.45862,                0.05387,                 0.0001,                 0.0001,                 0.0001
                     44,                0.69035,                0.47706,                0.05056,                0.84918,                0.83399,                0.86654,                0.34219,                0.62528,                 0.4606,                0.05299,                 0.0001,                 0.0001,                 0.0001
                     45,                0.68425,                0.47326,                 0.0493,                 0.8622,                0.83259,                 0.8703,                0.34581,                0.62053,                0.45778,                0.05279,                 0.0001,                 0.0001,                 0.0001
                     46,                0.67598,                0.47937,                0.04854,                0.85676,                0.84279,                0.86983,                0.33617,                0.63089,                 0.4586,                0.05427,                 0.0001,                 0.0001,                 0.0001
                     47,                0.68766,                0.46896,                0.04755,                0.85712,                0.84508,                0.87511,                0.34256,                0.62477,                0.45723,                0.05374,                 0.0001,                 0.0001,                 0.0001
                     48,                 0.6618,                0.46689,                0.04687,                0.85999,                0.85421,                0.87551,                0.34871,                0.61959,                0.45277,                0.05319,                 0.0001,                 0.0001,                 0.0001
                     49,                0.65827,                0.46885,                0.04672,                0.86786,                0.85616,                0.87728,                0.34773,                0.62377,                0.44835,                0.05373,                 0.0001,                 0.0001,                 0.0001
                     50,                0.66396,                0.46755,                 0.0473,                0.85689,                0.85733,                0.87509,                0.35613,                0.61963,                0.44813,                0.05304,                 0.0001,                 0.0001,                 0.0001
                     51,                0.67345,                0.46764,                0.04909,                0.85691,                0.85164,                 0.8722,                0.35184,                0.62252,                0.44856,                  0.054,                 0.0001,                 0.0001,                 0.0001
                     52,                0.66795,                0.46947,                0.04707,                0.87562,                0.85644,                0.88735,                0.35809,                0.61471,                0.44664,                0.05244,                 0.0001,                 0.0001,                 0.0001
                     53,                0.66331,                0.46877,                0.04624,                0.87838,                0.85275,                0.88773,                0.36214,                0.60749,                0.44783,                0.05144,                 0.0001,                 0.0001,                 0.0001
                     54,                0.67979,                 0.4666,                0.04673,                0.86509,                0.86138,                0.88275,                0.35107,                0.62533,                0.44561,                0.05359,                 0.0001,                 0.0001,                 0.0001
                     55,                 0.6625,                 0.4636,                0.04548,                0.87905,                0.85095,                0.88653,                0.36203,                0.61319,                0.44669,                 0.0521,                 0.0001,                 0.0001,                 0.0001
                     56,                0.66307,                0.46435,                0.04491,                0.87519,                0.86455,                0.88439,                0.36485,                0.61156,                0.44214,                0.05175,                 0.0001,                 0.0001,                 0.0001
                     57,                0.66174,                0.46176,                0.04569,                 0.8691,                0.86185,                0.88485,                0.36252,                 0.6142,                0.44251,                0.05175,                 0.0001,                 0.0001,                 0.0001
                     58,                0.66587,                0.46498,                0.04641,                0.86899,                 0.8675,                0.88422,                0.36113,                0.61824,                0.44004,                0.05352,                 0.0001,                 0.0001,                 0.0001
                     59,                0.64209,                0.46964,                0.04444,                0.87586,                0.86752,                 0.8858,                 0.3554,                 0.6223,                0.44188,                0.05374,                 0.0001,                 0.0001,                 0.0001
                     60,                0.66207,                0.46286,                0.04626,                0.86652,                0.87446,                0.88725,                0.36473,                0.61036,                0.44388,                0.05252,                 0.0001,                 0.0001,                 0.0001
