condition,mAP50_mean,mAP50_ci,precision_mean,precision_ci,recall_mean,recall_ci,f1_mean,f1_ci
mixed_rcs_intensitybinary,0.032940,0.005730,0.087107,0.106935,0.056910,0.139922,0.059697,0.104736
mixed_rcs_intensityproportional,0.033730,0.017215,0.072983,0.191769,0.081300,0.194764,0.039397,0.081306
