condition,mAP50_mean,mAP50_ci,precision_mean,precision_ci,recall_mean,recall_ci,f1_mean,f1_ci
mixed_rcs_colorgradient,0.029290,0.028455,0.116743,0.213921,0.097560,0.264097,0.049997,0.055099
mixed_rcs_colorintensity,0.111227,0.312090,0.194973,0.663711,0.073170,0.104942,0.046874,0.105209
mixed_rcs_colormono,0.032940,0.005730,0.087107,0.106935,0.056910,0.139922,0.059697,0.104736
mixed_rcs_colortwotone,0.030300,0.029127,0.038420,0.089659,0.073170,0.160301,0.028906,0.040084
