condition,mAP50_mean,mAP50_ci,precision_mean,precision_ci,recall_mean,recall_ci,f1_mean,f1_ci
angle_15,0.384590,0.129331,0.124860,0.454645,0.644443,0.669306,0.136577,0.426365
angle_30,0.273900,0.011806,0.070350,0.228554,0.600000,0.438159,0.104106,0.303514
angle_45,0.217073,0.092565,0.013623,0.012191,0.711110,0.095605,0.026683,0.023519
angle_60,0.314380,0.037542,0.169193,0.652553,0.619047,0.738740,0.141491,0.463246
angle_75,0.287727,0.115211,0.107880,0.408964,0.619047,0.875272,0.099949,0.321476
angle_90,0.299560,0.031803,0.030140,0.028464,0.809523,0.204878,0.057800,0.052080
