condition,mAP50_mean,mAP50_ci,precision_mean,precision_ci,recall_mean,recall_ci,f1_mean,f1_ci
base_decayconcave,0.042303,0.050497,0.043000,0.165881,0.185187,0.184013,0.044296,0.153167
base_decayexponential,0.028010,0.031035,0.065580,0.150790,0.086420,0.106232,0.049902,0.085295
base_decaylinear,0.062487,0.148973,0.143383,0.164594,0.061727,0.053109,0.078647,0.049984
base_decaystep,0.033233,0.072609,0.043363,0.168599,0.160493,0.191529,0.036161,0.120376
