condition,mAP50_mean,mAP50_ci,precision_mean,precision_ci,recall_mean,recall_ci,f1_mean,f1_ci
heavy,0.361967,0.013845,0.529243,0.012038,0.483977,0.013949,0.505594,0.012229
low,0.062487,0.148973,0.143383,0.164594,0.061727,0.053109,0.078647,0.049984
moderate,0.394603,0.010629,0.613680,0.007269,0.472073,0.011623,0.533623,0.004693
