epoch,train_loss,val_loss,mAP50,mAP50_95,precision,recall
93,3.6897,3.8974599999999997,0.91481,0.41205,0.88517,0.87748
94,3.7215,4.42868,0.82493,0.34362,0.83661,0.78158
95,3.7164900000000003,3.9066400000000003,0.91601,0.41054,0.88826,0.88063
96,3.71227,4.45904,0.81732,0.34158,0.82925,0.76982
97,3.70925,3.88556,0.92016,0.41155,0.89303,0.88356
98,3.70146,3.8840199999999996,0.91946,0.41107,0.89143,0.86986
99,3.6748000000000003,3.8752500000000003,0.91672,0.41206,0.88382,0.87704
100,3.6936299999999997,3.91617,0.90939,0.40589,0.88205,0.87345
101,3.6680800000000002,3.8979100000000004,0.91139,0.40753,0.87686,0.87671
102,3.6737,3.91118,0.91791,0.41167,0.88644,0.87149
103,3.65179,3.88424,0.92002,0.41336,0.88544,0.88487
104,3.6254999999999997,3.9338599999999997,0.90723,0.40529,0.88293,0.85356
105,3.63108,3.8802199999999996,0.92235,0.41188,0.8964,0.88748
106,3.66672,3.86784,0.91907,0.41363,0.88141,0.88813
107,3.6383900000000002,3.8779500000000002,0.91919,0.41257,0.88321,0.88258
108,3.6444799999999997,3.87723,0.92275,0.41631,0.89297,0.88441
109,3.6505799999999997,3.88576,0.91977,0.41594,0.89217,0.88226
110,3.62108,3.97415,0.90061,0.40595,0.88717,0.85519
111,3.59534,3.8477299999999994,0.92293,0.42091,0.89852,0.8865
112,3.62457,3.8540900000000002,0.92302,0.41777,0.90065,0.88405
113,3.62768,3.8337,0.92052,0.42142,0.89311,0.8802
114,3.5976600000000003,3.8587100000000003,0.92158,0.41855,0.89314,0.88049
115,3.60269,3.85995,0.92007,0.41846,0.89783,0.8816
116,3.5670600000000006,3.8503499999999997,0.9245,0.42077,0.89703,0.89335
117,3.6005000000000003,3.87714,0.91868,0.41526,0.89927,0.88232
118,3.59044,3.85058,0.92353,0.42,0.89727,0.88882
119,3.5963499999999997,3.8506500000000004,0.92336,0.41908,0.89406,0.88748
120,3.57952,3.8743300000000005,0.92255,0.41722,0.89815,0.88295
121,3.58927,3.867,0.9232,0.41621,0.89867,0.88804
122,3.60976,3.84368,0.92331,0.41941,0.89307,0.89106
123,3.5718,3.8482200000000004,0.92463,0.42018,0.90235,0.88606
124,3.55816,3.83237,0.92352,0.42369,0.89797,0.88696
125,3.5729800000000003,3.8445799999999997,0.91965,0.42167,0.89263,0.88666
126,3.59098,3.8472600000000003,0.9226,0.42245,0.89937,0.89201
127,3.5396300000000003,3.8403,0.92403,0.42104,0.89762,0.88878
128,3.61703,3.8315799999999998,0.92156,0.42264,0.89609,0.89161
129,3.5864399999999996,3.83885,0.92243,0.42238,0.90121,0.8867
130,3.5471399999999997,3.82569,0.92028,0.422,0.89383,0.89106
131,3.53709,3.82672,0.92176,0.4224,0.89258,0.89204
132,3.53463,3.84076,0.92211,0.42209,0.89409,0.8921
133,3.5249,3.83607,0.92094,0.4205,0.89419,0.89032
134,3.53521,3.84617,0.92194,0.42059,0.88783,0.89074
135,3.51691,3.8284199999999995,0.92383,0.41996,0.89481,0.89335
136,3.5351999999999997,3.8346299999999998,0.92339,0.42086,0.89352,0.89465
137,3.54823,3.82302,0.9231,0.423,0.89227,0.89145
138,3.57627,3.82934,0.92038,0.42165,0.89876,0.88454
139,3.4930600000000003,3.8222899999999997,0.92193,0.42386,0.89237,0.88421
140,3.47933,3.8292399999999995,0.92201,0.42188,0.89915,0.88398
141,3.5807200000000003,3.88406,0.91856,0.41427,0.89203,0.87867
142,3.56899,3.83486,0.92458,0.42357,0.8961,0.88748
143,3.5456000000000003,3.83172,0.92216,0.42294,0.89841,0.88258
144,3.5581899999999997,3.8268600000000004,0.92408,0.42479,0.89508,0.89204
145,3.5323700000000002,3.82749,0.92386,0.42568,0.89655,0.89269
146,3.51368,3.8157699999999997,0.92457,0.42633,0.89626,0.89327
147,3.52455,3.8120700000000003,0.92351,0.42578,0.8953,0.89106
148,3.5357000000000003,3.8144800000000005,0.92414,0.42563,0.89832,0.89008
149,3.51258,3.8172999999999995,0.92348,0.42578,0.89304,0.89367
150,3.4905099999999996,3.81549,0.9233,0.4272,0.89382,0.89726
