epoch,train_loss,val_loss,mAP50,mAP50_95,precision,recall
94,3.706,3.88429,0.91643,0.40829,0.88573,0.88235
95,3.65566,3.8701600000000003,0.91812,0.41193,0.89688,0.87372
96,3.66845,3.88214,0.91303,0.4113,0.88186,0.8741
97,3.70409,3.8769099999999996,0.91456,0.4103,0.88507,0.87084
98,3.66392,3.88978,0.91974,0.41168,0.89079,0.87792
99,3.65935,3.8887400000000003,0.91185,0.40907,0.88868,0.87182
100,3.6769100000000003,3.86313,0.9186,0.41429,0.8971,0.86888
101,3.6430599999999997,3.85309,0.91926,0.41138,0.89445,0.87342
102,3.65644,3.8773400000000002,0.92175,0.41322,0.89123,0.88128
103,3.6337800000000002,3.8624100000000006,0.9187,0.41447,0.88528,0.87312
104,3.60609,3.8597599999999996,0.92212,0.4143,0.89629,0.88389
105,3.66558,3.88617,0.9244,0.41059,0.8924,0.8865
106,3.62282,3.85869,0.92037,0.4137,0.89379,0.87639
107,3.6238099999999998,3.84911,0.91952,0.41539,0.89214,0.87769
108,3.64808,3.8552,0.91999,0.41075,0.89482,0.87409
109,3.6241000000000003,3.85515,0.91446,0.4093,0.89127,0.86886
110,3.6199500000000002,3.8482900000000004,0.92125,0.41408,0.90171,0.87375
111,3.61515,3.83444,0.92661,0.41732,0.89864,0.87965
112,3.62397,3.84856,0.91881,0.41477,0.89499,0.87842
113,3.5849200000000003,3.8442100000000003,0.92055,0.41539,0.89926,0.87802
114,3.6161399999999997,3.86886,0.91987,0.4143,0.89903,0.87508
115,3.56696,3.83552,0.92136,0.41412,0.89546,0.88128
116,3.57679,3.8364900000000004,0.92266,0.41663,0.89387,0.87932
117,3.5778100000000004,3.82725,0.92077,0.41795,0.89282,0.8816
118,3.55107,3.83291,0.919,0.41795,0.89779,0.87381
119,3.5644299999999998,3.82998,0.9217,0.41816,0.89146,0.88454
120,3.5936000000000003,3.8376,0.91992,0.41546,0.89172,0.87834
121,3.5645999999999995,3.82726,0.92098,0.42167,0.89595,0.8816
122,3.5533900000000003,3.8301600000000002,0.92023,0.42076,0.89753,0.88565
123,3.54692,3.8289999999999997,0.91991,0.42066,0.89165,0.88519
124,3.5783899999999997,3.8335800000000004,0.92236,0.41915,0.8951,0.88506
125,3.5475,3.82331,0.92245,0.42125,0.89623,0.88552
126,3.5090000000000003,3.83054,0.91915,0.41762,0.88578,0.8903
127,3.53219,3.82064,0.92418,0.42027,0.89435,0.88905
128,3.56921,3.8257199999999996,0.921,0.41905,0.8988,0.88059
129,3.5403000000000002,3.82543,0.92243,0.42106,0.90072,0.88258
130,3.55647,3.8239099999999997,0.92316,0.41882,0.90232,0.88258
131,3.49121,3.83581,0.92312,0.42106,0.89916,0.88552
132,3.5133900000000002,3.8304799999999997,0.92595,0.42151,0.90096,0.88715
133,3.50965,3.8279900000000002,0.92324,0.41906,0.89924,0.88486
134,3.5081300000000004,3.81726,0.92326,0.42035,0.90189,0.88451
135,3.52996,3.8123699999999996,0.92768,0.42502,0.90567,0.88617
136,3.51418,3.79953,0.92524,0.42231,0.89995,0.88454
137,3.49458,3.80077,0.92256,0.42156,0.89583,0.88584
138,3.51375,3.79079,0.92408,0.42182,0.90022,0.89157
139,3.48599,3.80969,0.92298,0.42068,0.90223,0.88487
140,3.48687,3.8067900000000003,0.92607,0.42237,0.90291,0.88569
141,3.54791,3.8206999999999995,0.92223,0.42137,0.89429,0.88389
142,3.5333500000000004,3.80897,0.92317,0.42141,0.89649,0.88487
143,3.52019,3.8,0.92389,0.42251,0.89559,0.88454
144,3.50392,3.80632,0.9225,0.41915,0.90195,0.88128
145,3.5018700000000003,3.80764,0.92303,0.42117,0.89552,0.89183
146,3.49667,3.80281,0.92334,0.42259,0.90139,0.88617
147,3.5119299999999996,3.8007600000000004,0.92196,0.4219,0.89699,0.88976
148,3.4888399999999997,3.80413,0.92291,0.42218,0.90126,0.88715
149,3.4897,3.80464,0.92247,0.42217,0.89874,0.88582
150,3.47322,3.80159,0.92309,0.42122,0.89939,0.88682
