epoch,train_loss,val_loss,mAP50,mAP50_95,precision,recall
93,1.0999299999999999,1.06813,0.90727,0.38791,0.88821,0.9018
94,1.1165500000000002,1.0677699999999999,0.90759,0.39,0.89292,0.9002
95,1.0945299999999998,1.0662999999999998,0.91135,0.39077,0.88985,0.90705
96,1.09018,1.06619,0.91039,0.39087,0.89698,0.89739
97,1.11026,1.0648199999999999,0.91127,0.39208,0.89685,0.90248
98,1.10946,1.06332,0.91242,0.39211,0.89662,0.9052
99,1.0947,1.06248,0.90942,0.3929,0.89452,0.90313
100,1.1068200000000001,1.0627900000000001,0.90994,0.39182,0.89486,0.90215
101,1.1074899999999999,1.0623099999999999,0.9099,0.39174,0.89143,0.90251
102,1.10179,1.06102,0.90928,0.39202,0.89229,0.90313
103,1.0926899999999997,1.05999,0.91182,0.39386,0.89667,0.9029
104,1.08799,1.05996,0.91152,0.39342,0.89785,0.90019
105,1.09568,1.06054,0.91267,0.39313,0.89998,0.90393
106,1.09067,1.06069,0.91282,0.39377,0.89459,0.90795
107,1.09016,1.05962,0.91216,0.39433,0.90109,0.89736
108,1.09904,1.05941,0.91347,0.39348,0.90894,0.89498
109,1.08147,1.05925,0.91269,0.39406,0.90503,0.894
110,1.10115,1.0588399999999998,0.91218,0.39491,0.90475,0.89532
111,1.06734,1.0583500000000001,0.9123,0.39405,0.90781,0.89612
112,1.10896,1.05748,0.91266,0.39454,0.90866,0.89548
113,1.09105,1.05864,0.91305,0.39514,0.90121,0.89861
114,1.08802,1.05672,0.91441,0.39569,0.90321,0.90091
115,1.08349,1.0569700000000002,0.91337,0.39616,0.90311,0.89688
116,1.09596,1.0567799999999998,0.91334,0.39577,0.90311,0.89988
117,1.0838299999999998,1.05629,0.91478,0.39562,0.90412,0.90113
118,1.0646,1.05577,0.91645,0.3959,0.90268,0.90456
119,1.0773399999999997,1.05529,0.91647,0.39758,0.90585,0.90183
120,1.08329,1.05557,0.91644,0.39701,0.90517,0.90509
121,1.06965,1.05449,0.91683,0.39753,0.90667,0.89989
122,1.07207,1.05427,0.91716,0.39824,0.90487,0.90378
123,1.07408,1.0542,0.9176,0.39855,0.90639,0.90002
124,1.07674,1.0537100000000001,0.9184,0.39912,0.90712,0.90378
125,1.0908700000000002,1.0541800000000001,0.91829,0.39872,0.9071,0.90248
126,1.07542,1.0565499999999999,0.91775,0.39844,0.9088,0.89922
127,1.06853,1.057,0.918,0.39826,0.90687,0.90313
128,1.06455,1.05653,0.91861,0.39845,0.9057,0.90607
129,1.07859,1.05627,0.91777,0.39824,0.9025,0.90567
130,1.08,1.0567799999999998,0.91787,0.39838,0.90001,0.90574
131,1.06459,1.05621,0.91814,0.39887,0.90171,0.90666
132,1.07416,1.05377,0.91907,0.39912,0.9018,0.90752
133,1.0708199999999999,1.0531199999999998,0.91811,0.39907,0.90318,0.90668
134,1.08135,1.05297,0.91859,0.39892,0.90236,0.90731
135,1.0689700000000002,1.05311,0.91944,0.39913,0.90391,0.90818
136,1.07686,1.0533599999999999,0.91898,0.39873,0.90446,0.90781
137,1.07331,1.05412,0.91895,0.39928,0.90294,0.90607
138,1.08152,1.0539999999999998,0.91781,0.39901,0.90182,0.90737
139,1.07199,1.0538100000000001,0.91788,0.39853,0.90178,0.90835
140,1.0630799999999998,1.05323,0.91814,0.3984,0.90288,0.90657
141,1.0648399999999998,1.05298,0.91739,0.39886,0.90053,0.90835
142,1.07544,1.05319,0.91792,0.39952,0.90145,0.907
143,1.08256,1.05336,0.918,0.39912,0.9021,0.90607
144,1.0625400000000003,1.05341,0.91781,0.39948,0.89963,0.90922
145,1.0636599999999998,1.05316,0.91879,0.3999,0.90277,0.90737
146,1.04788,1.05237,0.91918,0.4002,0.9069,0.90476
147,1.05694,1.05316,0.9182,0.4,0.90587,0.90398
148,1.07601,1.05187,0.91853,0.40062,0.90585,0.90574
149,1.0688900000000001,1.05202,0.91851,0.40032,0.90565,0.90574
150,1.05713,1.0518200000000002,0.91811,0.4007,0.90448,0.90493
