x,y
1.074709263010234,7
3.224127789030702,3
5.37354631505117,16
7.522964841071637,123
9.672383367092106,254
11.821801893112575,612
13.97122041913304,1222
16.12063894515351,1723
18.270057471173978,2047
20.419475997194446,2094
22.568894523214915,1712
24.71831304923538,1489
26.86773157525585,1208
29.017150101276314,853
31.166568627296783,564
33.31598715331725,397
35.46540567933772,354
37.61482420535819,220
39.76424273137866,169
41.91366125739913,108
44.063079783419596,81
46.21249830944006,82
48.361916835460526,45
50.511335361480995,28
52.660753887501464,22
54.81017241352193,8
56.9595909395424,7
59.10900946556286,1
61.25842799158333,0
63.4078465176038,1
