x,y
0.06666666315789492,19
0.19999998947368475,494
0.33333331578947456,1460
0.46666664210526443,2011
0.5999999684210543,1807
0.733333294736844,1622
0.8666666210526339,1587
0.9999999473684238,1284
1.1333332736842137,931
1.2666666000000035,734
1.3999999263157934,576
1.533333252631583,475
1.666666578947373,421
1.7999999052631628,330
1.9333332315789526,328
2.0666665578947425,198
2.1999998842105324,180
2.3333332105263223,205
2.466666536842112,140
2.599999863157902,122
2.733333189473692,94
2.8666665157894817,76
2.9999998421052716,50
3.1333331684210615,63
3.266666494736851,32
3.3999998210526408,22
3.5333331473684306,19
3.6666664736842205,24
3.7999998000000104,13
3.9333331263158002,21
