x,y,c
169.76999999999998,35.39,0.0
169.76999999999998,75.17,0.0
169.76999999999998,114.95,0.0
169.76999999999998,154.73000000000002,0.0
169.76999999999998,194.51,0.0
169.76999999999998,234.29000000000002,0.0
169.76999999999998,274.07000000000005,0.0
169.76999999999998,313.85,0.0
169.76999999999998,353.63,0.0
169.76999999999998,393.40999999999997,0.0
169.76999999999998,433.19000000000005,0.0
169.76999999999998,472.97,0.0
169.76999999999998,512.75,8.950308506158311e-07
169.76999999999998,552.53,9.421377374903459e-08
169.76999999999998,592.3100000000001,2.826413212471046e-07
169.76999999999998,632.09,2.3553443437258712e-07
169.76999999999998,671.87,0.0
169.76999999999998,711.65,0.0
169.76999999999998,751.4300000000001,0.0
169.76999999999998,791.21,0.0
169.76999999999998,830.99,0.0
169.76999999999998,870.77,0.0
169.76999999999998,910.5500000000001,0.0
169.76999999999998,950.33,0.0
169.76999999999998,990.11,0.0
204.31,35.39,0.0
204.31,75.17,0.0
204.31,114.95,0.0
204.31,154.73000000000002,0.0
204.31,194.51,0.0
204.31,234.29000000000002,0.0
204.31,274.07000000000005,0.0
204.31,313.85,0.0
204.31,353.63,0.0
204.31,393.40999999999997,9.421377374903471e-08
204.31,433.19000000000005,1.9784892487297288e-06
204.31,472.97,0.0
204.31,512.75,0.0
204.31,552.53,0.0
204.31,592.3100000000001,4.710688687451743e-08
204.31,632.09,9.421377374903486e-08
204.31,671.87,4.710688687451743e-08
204.31,711.65,0.0
204.31,751.4300000000001,0.0
204.31,791.21,0.0
204.31,830.99,0.0
204.31,870.77,0.0
204.31,910.5500000000001,0.0
204.31,950.33,0.0
204.31,990.11,0.0
238.85,35.39,4.7106886874517356e-08
238.85,75.17,0.0
238.85,114.95,0.0
238.85,154.73000000000002,0.0
238.85,194.51,0.0
238.85,234.29000000000002,0.0
238.85,274.07000000000005,0.0
238.85,313.85,4.710688687451739e-07
238.85,353.63,1.224779058737452e-06
238.85,393.40999999999997,7.1602468049266325e-06
238.85,433.19000000000005,1.917250295792855e-05
238.85,472.97,2.3553443437258696e-07
238.85,512.75,0.0
238.85,552.53,0.0
238.85,592.3100000000001,0.0
238.85,632.09,2.3553443437258696e-07
238.85,671.87,4.710688687451738e-08
238.85,711.65,0.0
238.85,751.4300000000001,0.0
238.85,791.21,0.0
238.85,830.99,0.0
238.85,870.77,0.0
238.85,910.5500000000001,0.0
238.85,950.33,0.0
238.85,990.11,0.0
273.39,35.39,0.0
273.39,75.17,0.0
273.39,114.95,0.0
273.39,154.73000000000002,0.0
273.39,194.51,4.2396198187065694e-07
273.39,234.29000000000002,1.0363515112393835e-06
273.39,274.07000000000005,1.554527266859074e-06
273.39,313.85,3.3916958549652576e-06
273.39,353.63,8.149491429291523e-06
273.39,393.40999999999997,1.2765966342994213e-05
273.39,433.19000000000005,1.6958479274826265e-06
273.39,472.97,0.0
273.39,512.75,0.0
273.39,552.53,0.0
273.39,592.3100000000001,0.0
273.39,632.09,4.710688687451747e-08
273.39,671.87,4.239619818706572e-07
273.39,711.65,4.710688687451747e-08
273.39,751.4300000000001,0.0
273.39,791.21,2.355344343725873e-07
273.39,830.99,4.710688687451747e-08
273.39,870.77,0.0
273.39,910.5500000000001,0.0
273.39,950.33,0.0
273.39,990.11,0.0
307.92999999999995,35.39,2.826413212471041e-07
307.92999999999995,75.17,1.5074203799845554e-06
307.92999999999995,114.95,2.355344343725868e-06
307.92999999999995,154.73000000000002,3.156161420592663e-06
307.92999999999995,194.51,4.09829915808301e-06
307.92999999999995,234.29000000000002,5.275971329945943e-06
307.92999999999995,274.07000000000005,7.584208786797289e-06
307.92999999999995,313.85,8.47923963741313e-06
307.92999999999995,353.63,9.232949827405408e-06
307.92999999999995,393.40999999999997,6.3594297280598385e-06
307.92999999999995,433.19000000000005,4.7106886874517323e-07
307.92999999999995,472.97,0.0
307.92999999999995,512.75,0.0
307.92999999999995,552.53,0.0
307.92999999999995,592.3100000000001,0.0
307.92999999999995,632.09,3.3916958549652517e-06
307.92999999999995,671.87,3.297482081216217e-07
307.92999999999995,711.65,0.0
307.92999999999995,751.4300000000001,2.826413212471035e-07
307.92999999999995,791.21,0.0
307.92999999999995,830.99,0.0
307.92999999999995,870.77,0.0
307.92999999999995,910.5500000000001,0.0
307.92999999999995,950.33,0.0
307.92999999999995,990.11,0.0
342.47,35.39,2.5908787780984544e-06
342.47,75.17,5.228864443071427e-06
342.47,114.95,7.1602468049266376e-06
342.47,154.73000000000002,7.678422560546327e-06
342.47,194.51,9.704018696150575e-06
342.47,234.29000000000002,9.609804922401539e-06
342.47,274.07000000000005,7.1602468049266325e-06
342.47,313.85,3.8156578368359085e-06
342.47,353.63,4.899116234949808e-06
342.47,393.40999999999997,9.892446243648638e-07
342.47,433.19000000000005,4.710688687451732e-08
342.47,472.97,0.0
342.47,512.75,0.0
342.47,552.53,0.0
342.47,592.3100000000001,0.0
342.47,632.09,3.8156578368359085e-06
342.47,671.87,1.4132066062355215e-07
342.47,711.65,0.0
