time_s,x_simulink_m,theta_simulink_rad,x_multibody_m,theta_multibody_rad
0,0,0.0872664625997165,0,0.0872664625997165
0.01,-1.07031296456682e-05,0.087320182806965,-1.11374942115791e-05,0.087322362970244
0.02,-4.22480967565468e-05,0.0874785119783003,-4.31791959395097e-05,0.0874831857114327
0.03,-9.55586156581719e-05,0.0877460908728242,-9.60427006656903e-05,0.0877485219567249
0.04,-0.000170144158024512,0.0881204650335005,-0.000170645382345667,0.0881229836929552
0.05,-0.000266141109051575,0.0886023297055318,-0.00026666313278597,0.088604954876245
0.06,-0.00038367117076548,0.0891923097149052,-0.000384218151319825,0.0891950628564257
0.07,-0.000522872592457049,0.0898911163836769,-0.000523448994693598,0.08989402053525
0.08,-0.000683906275586311,0.0906995783788752,-0.000684516768265721,0.0907026576479614
0.09,-0.000866957582045725,0.0916186510395081,-0.000867606987002524,0.091621930355286
0.1,-0.00107223706846784,0.092649420359349,-0.00107293033642656,0.0926529253606218
0.11,-0.00129998088853884,0.0937931053526694,-0.00130072308869805,0.0937968623456141
0.12,-0.0015504510807654,0.0950510598980212,-0.00155124739782472,0.0950550958521506
0.13,-0.00182393581669248,0.0964247744407724,-0.0018247915520794,0.0964291170069551
0.14,-0.00212074963844933,0.0979158777042176,-0.00212167021399401,0.0979205552461038
0.15,-0.00244123369742496,0.0995261384740392,-0.00244222466048634,0.0995311801080382
0.16,-0.00278575599880915,0.101257467486143,-0.00278682302825507,0.101262903127122
0.17,-0.00315471165349734,0.103111919432419,-0.00315586056616062,0.1031177798434
0.18,-0.00354852313720616,0.10509169509152,-0.0035497598945627,0.105098011936311
0.19,-0.00396764055569299,0.107199143587905,-0.00396897127057954,0.107205949485952
0.2,-0.00441254191433786,0.109436764780188,-0.00441397285756813,0.109444093363191
0.21,-0.00488373338985583,0.111807211778497,-0.004885270996617,0.111815097748454
0.22,-0.00538174960147763,0.114313293589564,-0.00538340047740101,0.114321772778003
0.23,-0.00590715387852269,0.116957977887535,-0.00590892480532683,0.116967087315748
0.24,-0.00646053852086575,0.119744393907799,-0.00646243646146986,0.11975417184791
0.25,-0.00704252504835313,0.12267583546047,-0.00704455715135435,0.122686321497195
0.26,-0.00765376443474459,0.125755764059506,-0.00765593803814571,0.125766999152464
0.27,-0.00829493732123698,0.1289878121627,-0.0082972599553019,0.128999838709135
0.28,-0.00896675420405729,0.132375786517032,-0.00896923359316023,0.132388648414781
0.29,-0.00966995558999239,0.135923671603,-0.00967259965331354,0.13593741431355
0.3,-0.0104053121130429,0.139635633170622,-0.0104081289639484,0.139650303782059
0.31,-0.0111736246046456,0.143516021858767,-0.0111766225485734,0.143531669148416
0.32,-0.0119757241090979,0.147569376888353,-0.0119789116397512,0.147586051384865
0.33,-0.0128124718349297,0.151800429818695,-0.012815857628563,0.15181818386333
0.34,-0.0136847590320062,0.156214108354949,-0.013688351939562,0.156232996161744
0.35,-0.0145935067830919,0.160815540193076,-0.0145973158199274,0.160835617907575
0.36,-0.0155396656974695,0.16561005688717,-0.0155437000303845,0.16563138264335
0.37,-0.016524215492973,0.170603197722215,-0.0165284844242237,0.17062583169719
0.38,-0.0175481644514625,0.175800713573426,-0.0175526773994154,0.175824718039484
0.39,-0.0186125487313306,0.181208570731304,-0.018617315207384,0.181234010104771
0.4,-0.0197184315190939,0.186832954669298,-0.019723461100456,0.186859895555685
0.41,-0.0208669020004656,0.192680273728634,-0.0208722042983501,0.192708784963468
0.42,-0.0220590741295519,0.198757162692345,-0.0220646587523134,0.198787315377038
0.43,-0.0232960851729392,0.205070486217896,-0.0233019616836346,0.205102353749935
0.44,-0.0245790940034624,0.211627342094977,-0.0245852718712888,0.211661000191698
0.45,-0.0259092791163622,0.218435064292134,-0.0259157676613837,0.218470591007258
0.46,-0.0272878363383589,0.225501225752866,-0.0272946446688974,0.225538701484936
0.47,-0.0287159761979016,0.232833640898683,-0.0287231131399319,0.232873148390502
0.48,-0.0301949209225135,0.240440367793453,-0.0302023949403667,0.240481992121563
0.49,-0.0317259010267549,0.248329709920162,-0.0317337201344049,0.248373538473376
0.5,-0.0333101514518962,0.256510217518037,-0.0333183231140749,0.25655633996401
0.51,-0.0349489072159633,0.264990688424902,-0.0349574382383295,0.265039196663695
0.52,-0.0366433985304128,0.2737801683667,-0.0366522949379812,0.273831156470305
0.53,-0.0383948453373681,0.282887950633443,-0.0384041122404027,0.282941514770232
0.54,-0.0402044512191455,0.292323575078457,-0.0402140926657209,0.29237981342157
0.55,-0.042073396629777,0.302096826375933,-0.0420834154442305,0.302155838994656
0.56,-0.0440028313964708,0.312217731470406,-0.0440132290029977,0.312279620203691
0.57,-0.0459938664375072,0.322696556151188,-0.0460046426682032,0.322761424462581
0.58,-0.0480475646420491,0.333543800685042,-0.0480587175287702,0.333611753498436
0.59,-0.0501649308568319,0.344770194441666,-0.0501764564063389,0.344841337957501
0.6,-0.0523469009248151,0.356386689449128,-0.0523587928767832,0.356461130940891
0.61,-0.0545943297217176,0.368404452820355,-0.0546065792893436,0.368482300411545
0.62,-0.05690797813807,0.380834857997461,-0.0569205737311831,0.380916220419503
0.63,-0.059288498957101,0.393689474768161,-0.0593014258878972,0.393774461100192
0.64,-0.0617364215825809,0.406980058018175,-0.0617496617543445,0.407068777410044
0.65,-0.0642521355757904,0.420718535195363,-0.0642656671552467,0.420811096575742
0.66,-0.06683587296719,0.434916992475732,-0.0668496700414497,0.435013504247792
0.67,-0.0694876893162524,0.449587659638467,-0.0695017215356556,0.449688229366184
0.68,-0.0722074435023682,0.464742893676874,-0.0722216757109164,0.46484762776573
0.69,-0.0749947762408247,0.48039516119476,-0.0750091680962967,0.480504164571271
0.7,-0.0778490873306164,0.496557019663144,-0.0778635929168863,0.496670395458399
0.71,-0.0807695116552721,0.513241097640378,-0.0807840790897867,0.513358946883463
0.72,-0.08375489397392,0.530460074089422,-0.0837694650137314,0.530582495417331
0.73,-0.0868037625573552,0.548226656958943,-0.086818272207528,0.548353746350218
0.74,-0.0899143017427399,0.566553561229668,-0.0899286778713536,0.566685411769603
0.75,-0.0930843235005178,0.585453486663393,-0.0930984864648396,0.5855901883491
0.76,-0.0963112381278398,0.604939095528542,-0.096325100416542,0.60508073512253
0.77,-0.099592024203897,0.625022990612403,-0.0996054901004071,0.625169651553485
