source,task,comparison,metric,value,notes,url
CooperBaldock2025_WakeAStar,Long-range AUV routing in ocean currents,Wake-informed A* vs current-informed A*,Energy reduction upper bound (%),11.3,Reported in arXiv abstract,https://arxiv.org/abs/2502.11036
CooperBaldock2025_WakeAStar,Long-range AUV routing in ocean currents,NN surrogate vs wake-informed A*,Energy overhead lower bound (%),4.51,Reported in arXiv abstract,https://arxiv.org/abs/2502.11036
CooperBaldock2025_WakeAStar,Long-range AUV routing in ocean currents,NN surrogate vs wake-informed A*,Energy overhead upper bound (%),19.79,Reported in arXiv abstract,https://arxiv.org/abs/2502.11036
CooperBaldock2025_WakeAStar,Long-range AUV routing in ocean currents,NN surrogate vs wake-informed A*,Path suboptimality lower bound (%),9.81,Reported in arXiv abstract,https://arxiv.org/abs/2502.11036
CooperBaldock2025_WakeAStar,Long-range AUV routing in ocean currents,NN surrogate vs wake-informed A*,Path suboptimality upper bound (%),24.38,Reported in arXiv abstract,https://arxiv.org/abs/2502.11036
Gadhvi2025_Khalasi,ASV navigation in vortical flow fields,Flow-aware SAC vs SOTA planners,Energy conservation lower bound (%),30.0,Reported in arXiv abstract,https://arxiv.org/abs/2512.07453
Gadhvi2025_Khalasi,ASV navigation in vortical flow fields,Flow-aware SAC vs SOTA planners,Energy conservation upper bound (%),50.0,Reported in arXiv abstract,https://arxiv.org/abs/2512.07453
