Kdh,Kdt,Umin_z_mode1,Umin_z_mode2,Utarget_z_row2,Utarget_z_row3,Utarget_z_row4,SSE
-0.399999999999999,-0.0999999999999943,0.0389278692892783,0.0389278692892783,0.00951730356002978,0.00951730356002978,0.220814448347729,0.0444431976238636
-0.5,-0.0999999999999943,0.0394444187970269,0.0394444187970269,0.0107269848407952,0.0107269848407952,0.225387294984197,0.0463927438545269
-2.7,0,0.0501927990950086,0.0501927990950086,0.00943036318769282,0.00943036318769282,0.236849814127925,0.0514614871420698
-2.8,0,0.0507091836985012,0.0507091836985012,0.0104229134034348,0.0104229134034348,0.241590331943843,0.0536344395613528
0.599999999999994,-0.199999999999996,0.0343771666931961,0.0343771666931961,0.00940152402414268,0.00940152402414268,0.279779644395306,0.0727817728770452
-5.5,0.0999999999999943,0.0640301924804227,0.0640301924804227,0.00944912094692564,0.00944912094692564,0.280815581385146,0.0733416860564367
-5.59999999999999,0.0999999999999943,0.0645460199951626,0.0645460199951626,0.0106126972740037,0.0106126972740037,0.28533366805443,0.0758093795602064
-8.2,0.199999999999996,0.0773305417457489,0.0773305417457489,0.00942389390918408,0.00942389390918408,0.318483904770319,0.0951629832987989
-8.3,0.199999999999996,0.0778454686737474,0.0778454686737474,0.0107024082287453,0.0107024082287453,0.32284245365416,0.0978713875629951
-10.8,0.299999999999997,0.0900860633748015,0.0900860633748015,0.00915842812009502,0.00915842812009502,0.350248755889966,0.115770632371128
-10.9,0.299999999999997,0.0905997923392195,0.0905997923392195,0.0105135893755376,0.0105135893755376,0.354490542865445,0.118674261671822
1.2,-0.299999999999997,0.031893236240305,0.031893236240305,0.0106689123911219,0.0106689123911219,0.360528938020172,0.122871431277124
-13.4,0.399999999999999,0.10280351330183,0.10280351330183,0.00968167188339166,0.00968167188339166,0.380795836011577,0.137489754669104
-15.9,0.5,0.114963776470477,0.114963776470477,0.00939023349107323,0.00939023349107323,0.406230687225788,0.156999501129811
-16,0.5,0.115474269183114,0.115474269183114,0.0108364697298643,0.0108364697298643,0.410309366888085,0.160248988581557
-18.4,0.599999999999994,0.127073303452059,0.127073303452059,0.0095495804972024,0.0095495804972024,0.430901622189794,0.177158581317457
-20.9,0.699999999999996,0.139125343212483,0.139125343212483,0.0100838982190561,0.0100838982190561,0.454899486206964,0.197935566905043
-23.3,0.799999999999997,0.150609760580029,0.150609760580029,0.00941480906050242,0.00941480906050242,0.474386516945478,0.215655522017624
-23.4,0.799999999999997,0.1511137175885,0.1511137175885,0.0109314979307926,0.0109314979307926,0.478299648772974,0.219306296417681
