freq,mag,phase
15915.4943091895,0.112807640484592,-2.07831614812429
17110.7361635974,0.112802158298206,-2.23436391537678
20009.0972480394,0.112787219077455,-2.61273661393956
23398.4072253572,0.112766795817152,-3.05513974322962
27361.8271677545,0.112738878225861,-3.57238247595405
31996.6046725919,0.112700721569442,-4.17708288816369
37416.4599570542,0.112648580496779,-4.88396119090331
43754.3761296983,0.112577348266479,-5.71017477622946
51165.8621017718,0.112480069380863,-6.67569749907619
59832.7681980272,0.112347284245681,-7.80374328732543
69967.7480879364,0.112166153635699,-9.12122987094676
81819.4765165208,0.11191929956967,-10.6592709428066
95678.7508585222,0.111583290491005,-12.4536725675247
111885.626205378,0.111126698443028,-14.5453893997056
130837.759053525,0.110507676028849,-16.9808643389726
153000.164317134,0.109671062868437,-19.8121263906834
159154.943091895,0.109417794615975,-20.5948401206195
178916.625066113,0.10854517137611,-23.0964495372435
209223.034941952,0.107038675629299,-26.895275115306
244663.000624709,0.105038506686499,-31.2719725594763
286106.087177706,0.102410402739302,-36.2878778988506
334569.153942888,0.0990047330019392,-41.995967396359
391241.304490435,0.0946710785437609,-48.4316327661018
457513.062801679,0.0892849012518462,-55.6005624822043
535010.491560434,0.0827868476838697,-63.4649799138315
625635.089688826,0.0752282676873372,-71.9314890767587
731610.448064887,0.0668064234572792,-80.8458155609846
855536.808179869,0.0578663661536644,-89.9999999999999
1000454.86240197,0.04885405552615,-99.1541844390153
1169920.36126786,0.040229613535999,-108.068510923241
1368091.35838773,0.0323749081540016,-116.535020086168
1591549.43091895,0.0257426291988518,-124.149420370432
1599830.23362959,0.0255333395850397,-124.399437517796
1870822.99785271,0.0197983648423663,-131.568367233898
2187718.80648491,0.0151408534125196,-138.004032603641
2558293.10508859,0.0114530424820186,-143.712122101149
2991638.40990136,0.00859028823202761,-148.728027440524
3498387.40439682,0.0064015084616366,-153.104724884694
4090973.82582604,0.0047471669476925,-156.903550462756
4783937.5429261,0.00350750620992479,-160.187873609317
5594281.3102689,0.00258452800063653,-163.019135661027
6541887.95267624,0.00190059510853407,-165.454610600294
7650008.21585668,0.00139557364510195,-167.546327432475
8945831.25330565,0.00102362522202756,-169.340729057193
10461151.7470976,0.000750205462199971,-170.878770129053
12233150.0312354,0.00054949452911033,-172.196256712675
14305304.3588853,0.000402308093190926,-173.324302500924
15915494.3091895,0.000325222873586776,-173.998589096949
16728457.6971444,0.00029445342355598,-174.289825223771
19562065.2245217,0.00021546350311179,-175.116038809097
22875653.1400839,0.000157636610954491,-175.822917111836
26750524.5780217,0.000115315185394045,-176.427617524046
31281754.4844412,8.43483191245168e-05,-176.94486025677
36580522.4032443,6.16932259736284e-05,-177.38726338606
42776840.4089934,4.51208633192824e-05,-177.765636084623
159154943.091895,3.26061704348801e-06,-179.399399620859
