TIME,CH1,CH2,,Model,TBS1052C
-6.57E-01,2.98,0,,,
-6.56E-01,2.98,0,,,
-6.55E-01,2.98,0,,,
-6.54E-01,2.98,0,,,
-6.54E-01,2.98,0,,,
-6.53E-01,2.98,0,,,
-6.52E-01,2.98,0,,,
-6.51E-01,2.98,0,,,
-6.50E-01,2.98,0,,,
-6.50E-01,2.98,0,,,
-6.49E-01,2.98,0,,,
-6.48E-01,2.98,0,,,
-6.47E-01,2.98,0,,,
-6.46E-01,2.98,0,,,
-6.46E-01,2.98,0,,,
-6.45E-01,2.98,0,,,
-6.44E-01,2.98,0,,,
-6.43E-01,2.98,0,,,
-6.42E-01,2.98,0,,,
-6.42E-01,2.98,0,,,
-6.41E-01,2.98,0,,,
-6.40E-01,2.98,0,,,
-6.39E-01,2.98,0,,,
-6.38E-01,2.98,0,,,
-6.38E-01,2.98,0,,,
-6.37E-01,2.98,0,,,
-6.36E-01,2.98,0,,,
-6.35E-01,2.98,0,,,
-6.34E-01,2.98,0,,,
-6.34E-01,2.98,0,,,
-6.33E-01,2.98,0,,,
-6.32E-01,2.98,0,,,
-6.31E-01,2.98,0,,,
-6.30E-01,2.98,0,,,
-6.30E-01,2.98,0,,,
-6.29E-01,2.98,0,,,
-6.28E-01,2.98,0,,,
-6.27E-01,2.98,0,,,
-6.26E-01,2.98,0,,,
-6.26E-01,2.98,0,,,
-6.25E-01,2.98,0,,,
-6.24E-01,2.98,0,,,
-6.23E-01,2.98,0,,,
-6.22E-01,2.98,0,,,
-6.22E-01,2.98,0,,,
-6.21E-01,2.98,0,,,
-6.20E-01,2.98,0,,,
-6.19E-01,2.98,0,,,
-6.18E-01,2.98,0,,,
-6.18E-01,2.98,0,,,
-6.17E-01,2.98,0,,,
-6.16E-01,2.98,0,,,
-6.15E-01,2.98,0,,,
-6.14E-01,2.98,0,,,
-6.14E-01,2.98,0,,,
-6.13E-01,2.98,0,,,
-6.12E-01,2.98,0,,,
-6.11E-01,2.98,0,,,
-6.10E-01,2.98,0,,,
-6.10E-01,2.98,0,,,
-6.09E-01,2.98,0,,,
-6.08E-01,3,0,,,
-6.07E-01,2.98,0,,,
-6.06E-01,2.98,-0.08,,,
-6.06E-01,2.98,0,,,
-6.05E-01,2.98,0,,,
-6.04E-01,2.98,0,,,
-6.03E-01,2.98,0,,,
-6.02E-01,2.98,0,,,
-6.02E-01,2.98,0,,,
-6.01E-01,2.98,0,,,
-6.00E-01,2.98,0,,,
-5.99E-01,2.98,0,,,
-5.98E-01,2.98,0,,,
-5.98E-01,2.98,0,,,
-5.97E-01,2.98,0,,,
-5.96E-01,2.98,0,,,
-5.95E-01,2.98,0,,,
-5.94E-01,2.98,0,,,
-5.94E-01,2.98,0,,,
-5.93E-01,2.98,0,,,
-5.92E-01,2.98,0,,,
-5.91E-01,2.98,0,,,
-5.90E-01,2.98,0,,,
-5.90E-01,2.98,0,,,
-5.89E-01,2.98,0,,,
-5.88E-01,2.98,0,,,
-5.87E-01,2.98,0,,,
-5.86E-01,2.98,0,,,
-5.86E-01,2.98,0,,,
-5.85E-01,3,0,,,
-5.84E-01,2.98,0,,,
-5.83E-01,2.98,0,,,
-5.82E-01,2.98,0,,,
-5.82E-01,2.98,0,,,
-5.81E-01,2.98,0,,,
-5.80E-01,2.98,0,,,
-5.79E-01,2.98,0,,,
-5.78E-01,2.98,0,,,
-5.78E-01,2.98,0,,,
-5.77E-01,2.98,0,,,
-5.76E-01,2.98,0,,,
-5.75E-01,2.98,0,,,
-5.74E-01,2.98,0,,,
-5.74E-01,2.98,0,,,
-5.73E-01,2.98,0,,,
-5.72E-01,2.98,0,,,
-5.71E-01,2.98,0,,,
-5.70E-01,2.98,0,,,
-5.70E-01,2.98,0,,,
-5.69E-01,2.98,0,,,
-5.68E-01,2.98,0,,,
-5.67E-01,2.98,0,,,
-5.66E-01,2.98,0,,,
-5.66E-01,2.98,0,,,
-5.65E-01,2.98,0,,,
-5.64E-01,2.98,0,,,
-5.63E-01,2.98,0,,,
-5.62E-01,2.98,0,,,
-5.62E-01,2.98,0,,,
-5.61E-01,2.98,0,,,
-5.60E-01,2.98,0,,,
-5.59E-01,2.98,0,,,
-5.58E-01,2.98,0,,,
-5.58E-01,2.98,0,,,
-5.57E-01,2.98,0,,,
-5.56E-01,2.98,0,,,
-5.55E-01,2.98,0,,,
-5.54E-01,2.98,0,,,
-5.54E-01,2.98,0,,,
-5.53E-01,2.98,0,,,
-5.52E-01,2.98,0,,,
-5.51E-01,2.98,0,,,
-5.50E-01,2.98,0,,,
-5.50E-01,2.98,0,,,
-5.49E-01,2.98,0,,,
-5.48E-01,2.98,0,,,
