path,filename,datetime,date,time,hour,day_of_week,day_name,month,year
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100229_537_50_1.png,20250814_100229_537_50_1.png,2025-08-14 10:02:29,2025-08-14,10:02:29,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100230_756_75_1.png,20250814_100230_756_75_1.png,2025-08-14 10:02:30,2025-08-14,10:02:30,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100231_982_40_1.png,20250814_100231_982_40_1.png,2025-08-14 10:02:31,2025-08-14,10:02:31,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100233_207_50_1.png,20250814_100233_207_50_1.png,2025-08-14 10:02:33,2025-08-14,10:02:33,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100234_425_75_1.png,20250814_100234_425_75_1.png,2025-08-14 10:02:34,2025-08-14,10:02:34,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100235_658_40_1.png,20250814_100235_658_40_1.png,2025-08-14 10:02:35,2025-08-14,10:02:35,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100236_876_50_1.png,20250814_100236_876_50_1.png,2025-08-14 10:02:36,2025-08-14,10:02:36,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100238_105_75_1.png,20250814_100238_105_75_1.png,2025-08-14 10:02:38,2025-08-14,10:02:38,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100239_327_40_1.png,20250814_100239_327_40_1.png,2025-08-14 10:02:39,2025-08-14,10:02:39,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100240_549_50_1.png,20250814_100240_549_50_1.png,2025-08-14 10:02:40,2025-08-14,10:02:40,10,3,Thursday,8,2025
/Volumes/MacShare/FURUNO_data/PNG_data/Unknown_20250814_0947_1_GainRamping_40_75_None/20250814_100241_778_75_1.png,20250814_100241_778_75_1.png,2025-08-14 10:02:41,2025-08-14,10:02:41,10,3,Thursday,8,2025
